date,bench,perf,nav
2017-09-15,100.0,100.0,100.0
2017-09-18,100.391335,100.27945,100.27945
2017-09-19,100.29924,99.9738,99.9738
2017-09-20,100.334045,99.87774,99.87774
2017-09-21,100.773254,100.38425,100.38425
2017-09-22,100.47713,100.32311,100.32311
2017-09-25,101.62721,101.03048,101.03048
2017-09-26,102.432724,101.842636,101.842636
2017-09-27,102.97115,102.93424,102.93424
2017-09-28,102.60367,102.62859,102.62859
2017-09-29,102.49589,102.78578,102.78578
2017-10-02,103.87822,104.06078,104.06078
2017-10-03,103.962906,104.16557,104.16557
2017-10-04,103.99245,104.183044,104.183044
2017-10-05,104.86817,104.88167,104.88167
2017-10-06,104.43824,104.715744,104.715744
2017-10-09,104.076515,104.51489,104.51489
2017-10-10,103.76919,104.034584,104.034584
2017-10-11,103.53375,103.81626,103.81626
2017-10-12,103.13322,103.859924,103.859924
2017-10-13,103.20873,104.25291,104.25291
2017-10-16,103.67623,104.56728,104.56728
2017-10-17,104.06782,104.78561,104.78561
2017-10-18,103.944855,104.610954,104.610954
2017-10-19,103.401985,104.22671,104.22671
2017-10-20,104.58201,105.42311,105.42311
2017-10-23,104.62801,105.77242,105.77242
2017-10-24,104.63006,105.76369,105.76369
2017-10-25,103.60433,104.87294,104.87294
2017-10-26,104.75108,105.90341,105.90341
2017-10-27,105.85806,107.22208,107.22208
2017-10-30,104.86502,106.13047,106.13047
2017-10-31,104.72262,106.03441,106.03441
2017-11-02,104.82725,106.00821,106.00821
2017-11-03,105.40496,106.60204,106.60204
2017-11-06,105.84141,107.16095,107.16095
2017-11-07,105.716225,107.00375,107.00375
2017-11-08,105.60315,107.31814,107.31814
2017-11-09,104.99386,106.645706,106.645706
2017-11-10,104.508064,106.46232,106.46232
2017-11-13,104.574524,106.68937,106.68937
2017-11-14,103.42895,105.894684,105.894684
2017-11-15,102.63217,104.90787,104.90787
2017-11-16,103.56595,105.92961,105.92961
2017-11-17,103.40334,106.03441,106.03441
2017-11-20,103.79611,106.8029,106.8029
2017-11-21,104.4062,107.422935,107.422935
2017-11-22,103.83457,106.497246,106.497246
2017-11-23,103.3438,105.990746,105.990746
2017-11-24,102.564674,105.34451,105.34451
2017-11-27,102.54258,105.519165,105.519165
2017-11-28,104.39019,107.449135,107.449135
2017-11-29,105.36944,107.955635,107.955635
2017-11-30,105.360985,108.04297,108.04297
2017-12-01,105.91725,108.22636,108.22636
2017-12-04,106.557655,108.45341,108.45341
2017-12-05,106.00884,108.12156,108.12156
2017-12-06,106.08894,108.558205,108.558205
2017-12-07,106.298164,108.96865,108.96865
2017-12-08,107.290016,110.07772,110.07772
2017-12-11,107.15546,109.65855,109.65855
2017-12-12,108.06714,110.28731,110.28731
2017-12-13,107.494545,110.05152,110.05152
2017-12-14,106.751656,109.63235,109.63235
2017-12-15,107.737495,110.89861,110.89861
2017-12-18,107.9504,111.116936,111.116936
2017-12-19,107.58446,110.994675,110.994675
2017-12-20,106.94334,110.40084,110.40084
2017-12-21,107.639565,110.55803,110.55803
2017-12-22,107.86977,110.89861,110.89861
2017-12-27,107.337,110.645355,110.645355
2017-12-28,107.22062,110.418304,110.418304
2017-12-29,106.09091,109.23064,109.23064
2018-01-02,106.38377,109.11711,109.11711
2018-01-03,106.97918,109.82447,109.82447
2018-01-04,106.9192,109.937996,109.937996
2018-01-05,107.670074,111.09074,111.09074
2018-01-08,108.35774,111.88542,111.88542
2018-01-09,108.86176,112.76744,112.76744
2018-01-10,108.36537,112.15614,112.15614
2018-01-11,108.64656,112.549126,112.549126
2018-01-12,108.389145,112.72378,112.72378
2018-01-15,107.27272,111.544846,111.544846
2018-01-16,107.252205,111.213,111.213
2018-01-17,107.96906,112.49673,112.49673
2018-01-18,107.660904,112.226006,112.226006
2018-01-19,108.27901,113.431145,113.431145
2018-01-22,108.95705,114.17343,114.17343
2018-01-23,108.59436,113.94638,113.94638
2018-01-24,107.94625,112.76744,112.76744
2018-01-25,106.88601,111.6933,111.6933
2018-01-26,108.54412,113.78919,113.78919
2018-01-29,108.51229,113.30888,113.30888
2018-01-30,106.71803,111.46625,111.46625
2018-01-31,106.173874,110.820015,110.820015
2018-02-01,106.35717,110.88115,110.88115
2018-02-02,104.33773,108.732864,108.732864
2018-02-05,100.1255,104.13937,104.13937
2018-02-06,101.97053,106.55838,106.55838
2018-02-07,102.1804,107.099815,107.099815
2018-02-08,98.97911,103.03904,103.03904
2018-02-09,100.2774,104.61968,104.61968
2018-02-12,101.27824,105.720024,105.720024
2018-02-13,100.834915,105.65016,105.65016
2018-02-14,101.72307,107.11728,107.11728
2018-02-15,102.12823,107.728584,107.728584
2018-02-16,102.582184,108.06043,108.06043
2018-02-19,103.01255,108.49708,108.49708
2018-02-20,102.5756,108.20889,108.20889
2018-02-21,102.076126,107.81591,107.81591
2018-02-22,102.00702,107.66745,107.66745
2018-02-23,103.76782,109.387825,109.387825
2018-02-26,105.017456,110.592964,110.592964
2018-02-27,104.14538,109.667274,109.667274
