date,bench,perf,nav
2012-02-10,100.0,100.0,100.0
2012-02-13,100.45499,100.0,100.0
2012-02-14,100.241165,99.81,99.81
2012-02-15,100.67875,100.25,100.25
2012-02-16,100.46493,100.02,100.02
2012-02-17,101.77768,101.27,101.27
2012-02-20,103.10783,102.57,102.57
2012-02-21,102.60312,102.04,102.04
2012-02-22,101.73541,101.27,101.27
2012-02-23,101.24313,100.91,100.91
2012-02-24,101.8821,101.5,101.5
2012-02-27,101.38485,101.03,101.03
2012-02-28,101.6832,101.37,101.37
2012-02-29,101.506676,101.18,101.18
2012-03-01,102.80699,102.45,102.45
2012-03-02,102.871635,102.47,102.47
2012-03-05,102.165535,101.84,101.84
2012-03-06,98.74941,98.36,98.36
2012-03-07,99.55496,99.16,99.16
2012-03-08,101.78017,101.62,101.62
2012-03-09,101.998955,101.92,101.92
2012-03-12,101.95669,101.98,101.98
2012-03-13,103.66724,103.68,103.68
2012-03-14,104.22167,104.25,104.25
2012-03-15,104.90788,104.95,104.95
2012-03-16,105.38027,105.45,105.45
2012-03-19,105.42254,105.41,105.41
2012-03-20,104.196815,104.19,104.19
2012-03-21,103.90095,104.04,104.04
2012-03-22,102.47632,102.68,102.68
2012-03-23,102.5509,102.73,102.73
2012-03-26,103.40618,103.61,103.61
2012-03-27,102.86915,103.11,103.11
2012-03-28,101.77022,102.12,102.12
2012-03-29,100.1094,100.49,100.49
2012-03-30,101.24065,101.72,101.72
2012-04-02,102.25007,102.82,102.82
2012-04-03,100.80804,101.37,101.37
2012-04-04,98.06569,98.57,98.57
2012-04-05,98.0632,98.62,98.62
2012-04-10,95.24875,95.76,95.76
2012-04-11,96.1264,96.6,96.6
2012-04-12,96.97422,97.52,97.52
2012-04-13,94.77636,95.33,95.33
2012-04-16,95.11201,95.73,95.73
2012-04-17,97.588326,98.13,98.13
2012-04-18,96.06425,96.69,96.69
2012-04-19,94.7142,95.34,95.34
2012-04-20,95.47251,95.96,95.96
2012-04-23,92.68541,93.13,93.13
2012-04-24,94.26668,94.75,94.75
2012-04-25,96.096565,96.62,96.62
2012-04-26,96.11397,96.83,96.83
2012-04-27,97.215385,97.84,97.84
2012-04-30,96.12889,96.65,96.65
2012-05-02,95.64158,96.36,96.36
2012-05-03,95.51975,96.28,96.28
2012-05-04,94.005615,94.62,94.62
2012-05-07,95.22637,95.9,95.9
2012-05-09,93.12797,93.87,93.87
2012-05-10,94.102585,94.73,94.73
2012-05-11,94.4606,95.27,95.27
2012-05-14,92.265236,93.17,93.17
2012-05-15,91.372665,92.44,92.44
2012-05-16,91.138954,92.24,92.24
2012-05-18,89.75411,90.74,90.74
2012-05-21,90.36573,91.35,91.35
2012-05-22,92.17324,93.13,93.13
2012-05-23,89.72925,90.75,90.75
2012-05-24,90.527336,91.52,91.52
2012-05-25,90.766014,91.74,91.74
2012-05-29,91.206085,92.49,92.49
2012-05-30,89.48311,90.75,90.75
2012-05-31,89.35382,90.72,90.72
2012-06-01,87.27033,88.53,88.53
2012-06-04,87.25542,88.39,88.39
2012-06-05,87.69797,88.92,88.92
2012-06-06,89.811295,90.98,90.98
2012-06-07,90.37567,91.73,91.73
2012-06-08,90.26628,91.5,91.5
2012-06-11,89.957985,91.3,91.3
2012-06-12,89.9903,91.29,91.29
2012-06-13,89.74914,91.09,91.09
2012-06-14,89.900795,91.12,91.12
2012-06-15,91.26824,92.35,92.35
2012-06-18,90.76105,92.04,92.04
2012-06-19,92.48154,93.67,93.67
2012-06-20,93.03349,94.14,94.14
2012-06-21,92.65558,93.76,93.76
2012-06-22,92.0191,92.95,92.95
2012-06-25,89.89583,90.95,90.95
2012-06-26,89.55521,90.57,90.57
2012-06-27,91.0768,92.11,92.11
2012-06-28,90.726234,91.71,91.71
2012-06-29,94.908134,95.84,95.84
2012-07-02,96.01949,97.02,97.02
2012-07-03,97.12588,98.07,98.07
2012-07-04,96.989136,97.98,97.98
2012-07-05,95.9275,96.96,96.96
2012-07-06,94.06777,95.13,95.13
2012-07-09,93.756996,94.8,94.8
2012-07-10,94.49293,95.52,95.52
2012-07-11,94.398445,95.34,95.34
2012-07-12,93.54815,94.5,94.5
2012-07-13,94.918076,95.84,95.84
2012-07-16,94.83354,95.75,95.75
2012-07-17,94.79376,95.73,95.73
2012-07-18,96.03192,97.14,97.14
2012-07-19,97.001564,98.21,98.21
2012-07-20,94.68437,96.05,96.05
2012-07-23,92.06385,93.39,93.39
2012-07-24,91.13399,92.52,92.52
2012-07-25,91.46963,92.82,92.82
2012-07-26,94.90067,96.22,96.22
2012-07-27,96.75791,98.14,98.14
2012-07-30,98.21487,99.55,99.55
2012-07-31,97.54357,98.82,98.82
2012-08-01,97.78225,99.16,99.16
2012-08-02,95.18659,96.57,96.57
2012-08-03,99.092514,100.49,100.49
2012-08-06,100.221275,101.52,101.52
2012-08-07,101.43209,102.59,102.59
2012-08-08,101.11882,102.23,102.23
2012-08-09,101.38734,102.42,102.42
2012-08-10,100.90251,101.95,101.95
2012-08-13,100.55941,101.56,101.56
2012-08-14,101.20087,102.23,102.23
2012-08-16,102.24012,103.09,103.09
2012-08-17,102.990974,103.75,103.75
2012-08-20,102.56085,103.27,103.27
2012-08-21,103.557846,104.3,104.3
2012-08-22,102.205315,102.94,102.94
2012-08-23,101.330154,102.07,102.07
2012-08-24,101.39231,102.08,102.08
2012-08-27,102.342064,103.02,103.02
2012-08-28,101.586235,102.27,102.27
