"NAVDate","NAVPrice","NAVCurrency","AUMSize","AUMCurrency"
"24 juin 2025","107,5000","EUR","314,1067M","EUR"
"20 juin 2025","106,1300","EUR","310,1070M","EUR"
"19 juin 2025","106,0500","EUR","309,8397M","EUR"
"18 juin 2025","106,9000","EUR","312,3266M","EUR"
"17 juin 2025","107,6000","EUR","314,3393M","EUR"
"16 juin 2025","108,8000","EUR","317,8637M","EUR"
"13 juin 2025","108,3900","EUR","316,6895M","EUR"
"12 juin 2025","109,5100","EUR","319,9803M","EUR"
"11 juin 2025","110,0500","EUR","321,5789M","EUR"
"10 juin 2025","110,2900","EUR","322,2815M","EUR"
"06 juin 2025","110,3700","EUR","322,6474M","EUR"
"05 juin 2025","109,9100","EUR","321,2600M","EUR"
"04 juin 2025","109,8600","EUR","321,3223M","EUR"
"03 juin 2025","109,2900","EUR","319,6516M","EUR"
"02 juin 2025","109,2100","EUR","319,3777M","EUR"
"30 mai 2025","109,6100","EUR","321,6574M","EUR"
"28 mai 2025","109,5900","EUR","321,5979M","EUR"
"27 mai 2025","110,4300","EUR","323,9714M","EUR"
"26 mai 2025","110,0300","EUR","322,7988M","EUR"
"23 mai 2025","109,0000","EUR","319,9892M","EUR"
"22 mai 2025","110,0600","EUR","323,0887M","EUR"
"21 mai 2025","110,7200","EUR","325,0038M","EUR"
"20 mai 2025","110,6400","EUR","324,7640M","EUR"
"19 mai 2025","109,9900","EUR","322,8476M","EUR"
"16 mai 2025","109,5900","EUR","321,8430M","EUR"
"15 mai 2025","109,2300","EUR","320,7751M","EUR"
"14 mai 2025","108,6200","EUR","319,0608M","EUR"
"13 mai 2025","108,7300","EUR","319,4733M","EUR"
"12 mai 2025","108,5600","EUR","318,9975M","EUR"
"08 mai 2025","106,9000","EUR","314,0948M","EUR"
"07 mai 2025","106,6300","EUR","313,2628M","EUR"
"06 mai 2025","107,2900","EUR","315,1946M","EUR"
"05 mai 2025","107,5900","EUR","316,0430M","EUR"
"02 mai 2025","107,3700","EUR","315,2258M","EUR"
"30 avr. 2025","105,2600","EUR","308,8896M","EUR"
"29 avr. 2025","104,6100","EUR","306,9753M","EUR"
"28 avr. 2025","104,1200","EUR","305,5480M","EUR"
"25 avr. 2025","103,6600","EUR","304,2738M","EUR"
"24 avr. 2025","103,2300","EUR","303,0452M","EUR"
"23 avr. 2025","102,6300","EUR","301,2810M","EUR"
"22 avr. 2025","100,5400","EUR","295,1071M","EUR"
"17 avr. 2025","100,2900","EUR","294,3757M","EUR"
"16 avr. 2025","100,5600","EUR","295,0807M","EUR"
"15 avr. 2025","100,9700","EUR","296,8604M","EUR"
"14 avr. 2025","99,2000","EUR","291,5999M","EUR"
"11 avr. 2025","96,9500","EUR","285,0956M","EUR"
"10 avr. 2025","96,9600","EUR","285,1312M","EUR"
"09 avr. 2025","93,5200","EUR","275,0342M","EUR"
"08 avr. 2025","96,6600","EUR","284,4563M","EUR"
"07 avr. 2025","94,3500","EUR","278,2095M","EUR"
"04 avr. 2025","99,2000","EUR","292,5984M","EUR"
"03 avr. 2025","103,7300","EUR","306,0077M","EUR"
"02 avr. 2025","106,3100","EUR","313,6310M","EUR"
"01 avr. 2025","106,7800","EUR","316,4927M","EUR"
"31 mars 2025","105,8800","EUR","313,9194M","EUR"
"28 mars 2025","107,5500","EUR","318,9495M","EUR"
"27 mars 2025","107,9200","EUR","320,0223M","EUR"
"26 mars 2025","108,2000","EUR","320,8658M","EUR"
"25 mars 2025","109,4000","EUR","324,9356M","EUR"
"24 mars 2025","108,6800","EUR","322,8785M","EUR"
"21 mars 2025","108,9500","EUR","323,7331M","EUR"
"20 mars 2025","109,4600","EUR","325,2522M","EUR"
"19 mars 2025","109,8500","EUR","326,4314M","EUR"
"18 mars 2025","109,5900","EUR","324,3838M","EUR"
"17 mars 2025","109,1000","EUR","322,9840M","EUR"
"14 mars 2025","108,3600","EUR","320,8872M","EUR"
"13 mars 2025","107,3100","EUR","317,7507M","EUR"
"12 mars 2025","107,4700","EUR","318,2382M","EUR"
"11 mars 2025","106,4700","EUR","315,3228M","EUR"
"10 mars 2025","108,3000","EUR","322,0098M","EUR"
"07 mars 2025","109,6500","EUR","326,0152M","EUR"
"06 mars 2025","109,7700","EUR","326,3188M","EUR"
"05 mars 2025","110,0200","EUR","327,6083M","EUR"
"04 mars 2025","109,4800","EUR","326,0744M","EUR"
"03 mars 2025","111,4000","EUR","331,7280M","EUR"
"28 févr. 2025","110,6100","EUR","331,0878M","EUR"
"27 févr. 2025","110,6100","EUR","331,0801M","EUR"
"26 févr. 2025","111,4800","EUR","333,6557M","EUR"
"25 févr. 2025","110,7800","EUR","331,6091M","EUR"
"24 févr. 2025","110,8400","EUR","331,8256M","EUR"
"21 févr. 2025","110,9900","EUR","332,4767M","EUR"
"20 févr. 2025","110,4100","EUR","330,7073M","EUR"
"19 févr. 2025","110,5400","EUR","331,2023M","EUR"
"18 févr. 2025","111,3200","EUR","333,5556M","EUR"
"17 févr. 2025","111,1600","EUR","333,1730M","EUR"
"14 févr. 2025","110,7100","EUR","331,9621M","EUR"
"13 févr. 2025","111,2200","EUR","333,5159M","EUR"
"12 févr. 2025","110,1100","EUR","330,2120M","EUR"
"11 févr. 2025","110,3100","EUR","330,8440M","EUR"
"10 févr. 2025","110,0000","EUR","330,2417M","EUR"
"07 févr. 2025","109,5100","EUR","328,8698M","EUR"
"06 févr. 2025","110,0500","EUR","330,4406M","EUR"
"05 févr. 2025","108,8000","EUR","326,6967M","EUR"
"04 févr. 2025","108,5200","EUR","325,8908M","EUR"
"03 févr. 2025","108,3800","EUR","325,4128M","EUR"
"31 janv. 2025","109,4200","EUR","328,5676M","EUR"
"30 janv. 2025","109,3000","EUR","328,3193M","EUR"
"29 janv. 2025","108,3300","EUR","325,4130M","EUR"
"28 janv. 2025","107,5600","EUR","323,1718M","EUR"
"27 janv. 2025","107,1900","EUR","321,9725M","EUR"
"24 janv. 2025","107,7000","EUR","323,6128M","EUR"
"23 janv. 2025","107,8400","EUR","324,0557M","EUR"
"22 janv. 2025","107,5200","EUR","323,3444M","EUR"
"21 janv. 2025","107,1800","EUR","322,3646M","EUR"
"20 janv. 2025","106,7100","EUR","320,4614M","EUR"
"17 janv. 2025","106,4600","EUR","319,9968M","EUR"
"16 janv. 2025","105,8000","EUR","318,0017M","EUR"
"15 janv. 2025","104,7800","EUR","314,9535M","EUR"
"14 janv. 2025","103,5000","EUR","311,2598M","EUR"
"13 janv. 2025","103,5700","EUR","311,5261M","EUR"
"10 janv. 2025","104,3800","EUR","313,9975M","EUR"
"09 janv. 2025","105,1600","EUR","316,4801M","EUR"
"08 janv. 2025","104,4900","EUR","314,4978M","EUR"
"07 janv. 2025","104,6300","EUR","314,0960M","EUR"
"06 janv. 2025","104,2900","EUR","313,0934M","EUR"
"03 janv. 2025","103,0500","EUR","315,7325M","EUR"
"02 janv. 2025","103,8000","EUR","318,2037M","EUR"
"31 déc. 2024","103,2200","EUR","316,3841M","EUR"
"30 déc. 2024","102,6400","EUR","314,5843M","EUR"
"27 déc. 2024","103,1800","EUR","316,9817M","EUR"
"23 déc. 2024","102,3100","EUR","314,3289M","EUR"
