"NAVDate","NAVPrice","NAVCurrency","AUMSize","AUMCurrency"
"28 oct. 2020","64,4300","EUR","358,3706M","EUR"
"27 oct. 2020","66,2900","EUR","368,7960M","EUR"
"26 oct. 2020","66,9100","EUR","372,2574M","EUR"
"23 oct. 2020","68,2300","EUR","379,6260M","EUR"
"22 oct. 2020","67,8900","EUR","377,8209M","EUR"
"21 oct. 2020","68,0600","EUR","379,2398M","EUR"
"20 oct. 2020","69,0200","EUR","384,5623M","EUR"
"19 oct. 2020","69,1400","EUR","385,3005M","EUR"
"16 oct. 2020","69,4100","EUR","387,1239M","EUR"
"15 oct. 2020","68,5000","EUR","381,8811M","EUR"
"14 oct. 2020","70,1300","EUR","391,2041M","EUR"
"13 oct. 2020","70,2900","EUR","392,0923M","EUR"
"12 oct. 2020","70,2600","EUR","391,8722M","EUR"
"09 oct. 2020","69,6100","EUR","388,2357M","EUR"
"08 oct. 2020","69,3300","EUR","386,7912M","EUR"
"07 oct. 2020","68,7700","EUR","383,9051M","EUR"
"06 oct. 2020","68,8700","EUR","384,4745M","EUR"
"05 oct. 2020","69,0100","EUR","385,2587M","EUR"
"02 oct. 2020","68,5700","EUR","383,7931M","EUR"
"01 oct. 2020","68,5500","EUR","383,6335M","EUR"
"30 sept. 2020","68,1600","EUR","381,5433M","EUR"
"29 sept. 2020","68,5000","EUR","383,3661M","EUR"
"28 sept. 2020","68,7400","EUR","384,7555M","EUR"
"25 sept. 2020","67,5500","EUR","377,9586M","EUR"
"24 sept. 2020","67,7300","EUR","378,8705M","EUR"
"23 sept. 2020","68,3800","EUR","382,7702M","EUR"
"22 sept. 2020","68,1500","EUR","381,5878M","EUR"
"21 sept. 2020","68,0100","EUR","380,8332M","EUR"
"18 sept. 2020","70,0700","EUR","392,3972M","EUR"
"17 sept. 2020","70,3900","EUR","394,1758M","EUR"
"16 sept. 2020","70,8200","EUR","396,8786M","EUR"
"15 sept. 2020","70,5400","EUR","395,3058M","EUR"
"14 sept. 2020","70,2600","EUR","393,7712M","EUR"
"11 sept. 2020","70,1800","EUR","393,3205M","EUR"
"10 sept. 2020","70,2200","EUR","393,5193M","EUR"
"09 sept. 2020","70,6000","EUR","395,9001M","EUR"
"08 sept. 2020","69,3600","EUR","389,0030M","EUR"
"07 sept. 2020","70,1400","EUR","393,3577M","EUR"
"04 sept. 2020","69,1000","EUR","387,5478M","EUR"
"03 sept. 2020","70,0400","EUR","392,7997M","EUR"
"02 sept. 2020","71,0100","EUR","398,3330M","EUR"
"01 sept. 2020","69,9100","EUR","392,0792M","EUR"
"31 août 2020","70,1100","EUR","393,2172M","EUR"
"28 août 2020","70,7200","EUR","396,5687M","EUR"
"27 août 2020","71,1000","EUR","398,7391M","EUR"
"26 août 2020","71,6500","EUR","401,9716M","EUR"
"25 août 2020","71,0300","EUR","398,4709M","EUR"
"24 août 2020","71,0600","EUR","398,7510M","EUR"
"21 août 2020","69,9500","EUR","392,5462M","EUR"
"20 août 2020","70,1800","EUR","393,9361M","EUR"
"19 août 2020","70,8400","EUR","397,7636M","EUR"
"18 août 2020","70,2300","EUR","394,3386M","EUR"
"17 août 2020","70,5800","EUR","396,3232M","EUR"
"14 août 2020","70,4700","EUR","395,9267M","EUR"
"13 août 2020","71,3000","EUR","400,6020M","EUR"
"12 août 2020","71,6900","EUR","403,0243M","EUR"
"11 août 2020","70,9100","EUR","398,6331M","EUR"
"10 août 2020","69,9000","EUR","392,9046M","EUR"
"07 août 2020","69,7900","EUR","392,2968M","EUR"
"06 août 2020","69,5700","EUR","391,4294M","EUR"
"05 août 2020","70,0000","EUR","393,9885M","EUR"
"04 août 2020","69,9400","EUR","393,6398M","EUR"
"03 août 2020","70,1000","EUR","394,4596M","EUR"
"31 juil. 2020","68,7200","EUR","386,5980M","EUR"
"30 juil. 2020","69,1800","EUR","389,1436M","EUR"
"29 juil. 2020","70,7500","EUR","398,2457M","EUR"
"28 juil. 2020","70,7600","EUR","398,3260M","EUR"
"27 juil. 2020","70,6400","EUR","397,6767M","EUR"
"24 juil. 2020","70,7600","EUR","398,3034M","EUR"
"23 juil. 2020","72,2100","EUR","406,5781M","EUR"
"22 juil. 2020","72,2500","EUR","406,9460M","EUR"
"21 juil. 2020","72,7200","EUR","409,8703M","EUR"
"20 juil. 2020","72,5000","EUR","408,6475M","EUR"
"17 juil. 2020","71,8100","EUR","404,7720M","EUR"
"16 juil. 2020","71,5500","EUR","403,0901M","EUR"
"15 juil. 2020","71,7700","EUR","404,5750M","EUR"
"14 juil. 2020","70,6300","EUR","398,1495M","EUR"
"13 juil. 2020","71,0300","EUR","400,3166M","EUR"
"10 juil. 2020","70,3800","EUR","396,6814M","EUR"
"09 juil. 2020","69,8000","EUR","393,4058M","EUR"
"08 juil. 2020","70,3000","EUR","396,4755M","EUR"
"07 juil. 2020","70,7900","EUR","399,2631M","EUR"
"06 juil. 2020","71,2300","EUR","401,7378M","EUR"
"03 juil. 2020","70,4100","EUR","388,7655M","EUR"
"02 juil. 2020","70,6100","EUR","389,8441M","EUR"
"01 juil. 2020","69,2500","EUR","382,4361M","EUR"
"30 juin 2020","69,0900","EUR","394,6065M","EUR"
"29 juin 2020","68,9000","EUR","393,5132M","EUR"
"26 juin 2020","68,3100","EUR","390,1637M","EUR"
"25 juin 2020","68,5400","EUR","391,5043M","EUR"
"24 juin 2020","67,7500","EUR","387,2042M","EUR"
"22 juin 2020","68,6700","EUR","394,8364M","EUR"
"19 juin 2020","68,9900","EUR","396,6107M","EUR"
"18 juin 2020","68,6600","EUR","394,6912M","EUR"
"17 juin 2020","69,2500","EUR","398,1542M","EUR"
"16 juin 2020","68,4200","EUR","393,4688M","EUR"
"15 juin 2020","66,7000","EUR","383,5688M","EUR"
"12 juin 2020","66,8600","EUR","384,4823M","EUR"
"11 juin 2020","66,8400","EUR","384,4006M","EUR"
"10 juin 2020","69,3200","EUR","398,8514M","EUR"
"09 juin 2020","69,5700","EUR","400,5278M","EUR"
"08 juin 2020","70,2000","EUR","404,1524M","EUR"
"05 juin 2020","70,5400","EUR","406,1087M","EUR"
"04 juin 2020","68,9500","EUR","396,8507M","EUR"
"03 juin 2020","69,3900","EUR","399,8084M","EUR"
"02 juin 2020","67,7300","EUR","390,2947M","EUR"
"29 mai 2020","66,0700","EUR","381,8467M","EUR"
"28 mai 2020","66,6800","EUR","385,4377M","EUR"
"27 mai 2020","65,5600","EUR","379,0131M","EUR"
"26 mai 2020","65,4300","EUR","378,1967M","EUR"
"25 mai 2020","65,5100","EUR","378,6820M","EUR"
"22 mai 2020","64,4900","EUR","372,8224M","EUR"
"20 mai 2020","64,7600","EUR","374,4180M","EUR"
"19 mai 2020","64,1900","EUR","371,0892M","EUR"
"18 mai 2020","64,5300","EUR","373,0288M","EUR"
"15 mai 2020","62,3000","EUR","360,5282M","EUR"
"14 mai 2020","61,9600","EUR","358,5416M","EUR"
"13 mai 2020","63,1600","EUR","365,6055M","EUR"
"12 mai 2020","64,2500","EUR","371,9260M","EUR"
"11 mai 2020","63,7300","EUR","368,8522M","EUR"
"08 mai 2020","63,9300","EUR","369,9586M","EUR"
"07 mai 2020","63,3500","EUR","366,5981M","EUR"
"06 mai 2020","62,8900","EUR","364,0518M","EUR"
"05 mai 2020","63,0000","EUR","364,7486M","EUR"
"04 mai 2020","61,7000","EUR","357,1487M","EUR"
"30 avr. 2020","63,3400","EUR","366,5396M","EUR"
"29 avr. 2020","64,6500","EUR","374,0191M","EUR"
"28 avr. 2020","63,8000","EUR","369,0962M","EUR"
"27 avr. 2020","62,9500","EUR","364,0650M","EUR"
"24 avr. 2020","61,8200","EUR","357,5009M","EUR"
"23 avr. 2020","62,2500","EUR","359,9606M","EUR"
"22 avr. 2020","61,9000","EUR","357,9516M","EUR"
"21 avr. 2020","60,8200","EUR","351,7162M","EUR"
"20 avr. 2020","62,9700","EUR","364,1708M","EUR"
"17 avr. 2020","62,3400","EUR","360,5206M","EUR"
"16 avr. 2020","60,7100","EUR","351,0601M","EUR"
"15 avr. 2020","60,3900","EUR","349,0567M","EUR"
"14 avr. 2020","62,1300","EUR","359,0912M","EUR"
"09 avr. 2020","61,7400","EUR","357,0237M","EUR"
"08 avr. 2020","60,9600","EUR","352,5394M","EUR"
"07 avr. 2020","61,2000","EUR","353,6583M","EUR"
"06 avr. 2020","60,5700","EUR","349,9857M","EUR"
"03 avr. 2020","58,2200","EUR","336,3830M","EUR"
"02 avr. 2020","58,3700","EUR","337,2973M","EUR"
"01 avr. 2020","58,1400","EUR","336,8685M","EUR"
"31 mars 2020","59,5100","EUR","344,7755M","EUR"
"30 mars 2020","58,9900","EUR","341,7386M","EUR"
"27 mars 2020","58,0200","EUR","336,9804M","EUR"
"26 mars 2020","59,9000","EUR","347,4854M","EUR"
"25 mars 2020","58,7100","EUR","340,6397M","EUR"
"24 mars 2020","56,9900","EUR","330,2384M","EUR"
"23 mars 2020","52,6300","EUR","304,9988M","EUR"
"20 mars 2020","54,1500","EUR","313,8539M","EUR"
"19 mars 2020","53,1500","EUR","308,1431M","EUR"
"18 mars 2020","51,5000","EUR","298,8113M","EUR"
"17 mars 2020","53,5800","EUR","310,9295M","EUR"
"16 mars 2020","51,9500","EUR","301,5321M","EUR"
"13 mars 2020","54,7200","EUR","317,7327M","EUR"
"12 mars 2020","54,2800","EUR","315,2466M","EUR"
"11 mars 2020","60,9300","EUR","354,4370M","EUR"
"10 mars 2020","61,0400","EUR","355,3793M","EUR"
"09 mars 2020","61,4200","EUR","357,7409M","EUR"
"06 mars 2020","66,6100","EUR","388,0156M","EUR"
"05 mars 2020","69,1700","EUR","402,9886M","EUR"
"04 mars 2020","70,0000","EUR","408,0623M","EUR"
"03 mars 2020","68,9200","EUR","401,9520M","EUR"
"02 mars 2020","68,2700","EUR","398,2946M","EUR"
"28 févr. 2020","68,1600","EUR","397,6909M","EUR"
"27 févr. 2020","70,9400","EUR","413,9606M","EUR"
"26 févr. 2020","73,5700","EUR","429,5040M","EUR"
"25 févr. 2020","73,6000","EUR","429,7605M","EUR"
"24 févr. 2020","75,1200","EUR","438,7662M","EUR"
"21 févr. 2020","77,8900","EUR","455,7956M","EUR"
"20 févr. 2020","78,3000","EUR","458,3929M","EUR"
"19 févr. 2020","79,0400","EUR","462,9694M","EUR"
"18 févr. 2020","78,7600","EUR","461,4154M","EUR"
"17 févr. 2020","78,8500","EUR","462,0112M","EUR"
"14 févr. 2020","78,3500","EUR","459,0970M","EUR"
"13 févr. 2020","78,4100","EUR","459,5241M","EUR"
"12 févr. 2020","78,3100","EUR","459,3509M","EUR"
"11 févr. 2020","77,7600","EUR","456,1347M","EUR"
"10 févr. 2020","77,2000","EUR","452,8436M","EUR"
"07 févr. 2020","77,2100","EUR","453,0006M","EUR"
"06 févr. 2020","77,1100","EUR","452,5102M","EUR"
"05 févr. 2020","76,3300","EUR","448,2643M","EUR"
"04 févr. 2020","75,3800","EUR","442,7266M","EUR"
"03 févr. 2020","74,2100","EUR","435,9519M","EUR"
"31 janv. 2020","74,0400","EUR","434,9524M","EUR"
"30 janv. 2020","74,9100","EUR","440,1692M","EUR"
"29 janv. 2020","75,8500","EUR","445,9695M","EUR"
"28 janv. 2020","75,5900","EUR","444,6327M","EUR"
"27 janv. 2020","75,1400","EUR","442,0363M","EUR"
"24 janv. 2020","76,7600","EUR","451,6374M","EUR"
"23 janv. 2020","76,1700","EUR","448,2815M","EUR"
"22 janv. 2020","76,6400","EUR","451,3893M","EUR"
"21 janv. 2020","76,9200","EUR","453,2088M","EUR"
"20 janv. 2020","76,9700","EUR","453,5531M","EUR"
"17 janv. 2020","77,0000","EUR","453,8410M","EUR"
"16 janv. 2020","76,3800","EUR","450,5475M","EUR"
"15 janv. 2020","76,4800","EUR","451,5139M","EUR"
"14 janv. 2020","76,6800","EUR","452,5724M","EUR"
"13 janv. 2020","76,4300","EUR","451,1484M","EUR"
"10 janv. 2020","76,6800","EUR","452,7715M","EUR"
"09 janv. 2020","76,8100","EUR","453,6146M","EUR"
"08 janv. 2020","76,5300","EUR","452,3128M","EUR"
"07 janv. 2020","76,3400","EUR","451,2634M","EUR"
"06 janv. 2020","76,1400","EUR","450,0111M","EUR"
"03 janv. 2020","76,3600","EUR","451,3203M","EUR"
"02 janv. 2020","76,6700","EUR","454,2214M","EUR"
"31 déc. 2019","75,8900","EUR","449,8109M","EUR"
"30 déc. 2019","76,0000","EUR","446,6759M","EUR"
"27 déc. 2019","76,6500","EUR","454,9010M","EUR"
"23 déc. 2019","76,5800","EUR","454,4677M","EUR"
"20 déc. 2019","76,8000","EUR","455,7486M","EUR"
"19 déc. 2019","76,2100","EUR","452,2649M","EUR"
"18 déc. 2019","76,0300","EUR","453,1911M","EUR"
"17 déc. 2019","76,1900","EUR","454,3191M","EUR"
"16 déc. 2019","76,6300","EUR","456,9524M","EUR"
"13 déc. 2019","75,5400","EUR","450,7904M","EUR"
"12 déc. 2019","74,8700","EUR","446,8516M","EUR"
"11 déc. 2019","74,4800","EUR","444,8755M","EUR"
"10 déc. 2019","74,2300","EUR","443,2715M","EUR"
"09 déc. 2019","74,3200","EUR","443,8125M","EUR"
"06 déc. 2019","74,5100","EUR","444,9368M","EUR"
"05 déc. 2019","73,7300","EUR","440,3065M","EUR"
"04 déc. 2019","73,9600","EUR","441,8354M","EUR"
"03 déc. 2019","73,1900","EUR","437,3757M","EUR"
"02 déc. 2019","73,6300","EUR","439,9146M","EUR"
"29 nov. 2019","74,9000","EUR","447,3952M","EUR"
"28 nov. 2019","75,1700","EUR","449,2688M","EUR"
"27 nov. 2019","75,2700","EUR","450,0921M","EUR"
"26 nov. 2019","74,9900","EUR","448,4232M","EUR"
"25 nov. 2019","75,0500","EUR","448,9267M","EUR"
"22 nov. 2019","74,4900","EUR","445,6942M","EUR"
"21 nov. 2019","74,1800","EUR","443,7270M","EUR"
"20 nov. 2019","74,2400","EUR","444,2181M","EUR"
"19 nov. 2019","74,5500","EUR","446,0771M","EUR"
"18 nov. 2019","74,6200","EUR","446,5887M","EUR"
"15 nov. 2019","74,6900","EUR","446,9821M","EUR"
"14 nov. 2019","74,3500","EUR","444,9487M","EUR"
"13 nov. 2019","74,7000","EUR","447,3159M","EUR"
"12 nov. 2019","75,0000","EUR","449,1104M","EUR"
"11 nov. 2019","74,5500","EUR","446,4089M","EUR"
"08 nov. 2019","74,4700","EUR","445,9793M","EUR"
"07 nov. 2019","74,7700","EUR","447,6952M","EUR"
"06 nov. 2019","74,4000","EUR","445,6051M","EUR"
"05 nov. 2019","74,1300","EUR","444,0022M","EUR"
"04 nov. 2019","73,9000","EUR","443,3281M","EUR"
"31 oct. 2019","72,7500","EUR","436,4450M","EUR"
"30 oct. 2019","73,1800","EUR","439,2614M","EUR"
"29 oct. 2019","73,3400","EUR","440,2899M","EUR"
"28 oct. 2019","73,5600","EUR","441,6334M","EUR"
"25 oct. 2019","73,4700","EUR","441,0580M","EUR"
"24 oct. 2019","73,8100","EUR","443,0373M","EUR"
"23 oct. 2019","73,3400","EUR","440,3431M","EUR"
"22 oct. 2019","73,3100","EUR","440,1774M","EUR"
"21 oct. 2019","73,2800","EUR","439,9969M","EUR"
"18 oct. 2019","72,7500","EUR","437,0269M","EUR"
"17 oct. 2019","73,0000","EUR","438,4986M","EUR"
"16 oct. 2019","73,0100","EUR","438,0612M","EUR"
"15 oct. 2019","73,0400","EUR","438,2490M","EUR"
"14 oct. 2019","72,3100","EUR","433,8566M","EUR"
"11 oct. 2019","72,6700","EUR","436,0673M","EUR"
"10 oct. 2019","71,3500","EUR","428,1228M","EUR"
"09 oct. 2019","70,9000","EUR","425,5056M","EUR"
"08 oct. 2019","70,6100","EUR","423,8393M","EUR"
"07 oct. 2019","71,4200","EUR","428,7082M","EUR"
"04 oct. 2019","70,8500","EUR","425,3377M","EUR"
"03 oct. 2019","70,2100","EUR","421,5446M","EUR"
"02 oct. 2019","70,2600","EUR","421,8783M","EUR"
"01 oct. 2019","72,3700","EUR","434,9317M","EUR"
"30 sept. 2019","73,3500","EUR","463,4707M","EUR"
"27 sept. 2019","73,0800","EUR","461,7572M","EUR"
"26 sept. 2019","72,8600","EUR","460,3009M","EUR"
"25 sept. 2019","72,3900","EUR","457,3884M","EUR"
"24 sept. 2019","72,6600","EUR","459,0556M","EUR"
"23 sept. 2019","72,7200","EUR","459,4385M","EUR"
"20 sept. 2019","73,1500","EUR","462,2178M","EUR"
"19 sept. 2019","72,7900","EUR","459,8675M","EUR"
"18 sept. 2019","72,1800","EUR","456,1668M","EUR"
"17 sept. 2019","72,2000","EUR","456,3606M","EUR"
"16 sept. 2019","72,2300","EUR","456,7801M","EUR"
"13 sept. 2019","72,5600","EUR","458,8650M","EUR"
"12 sept. 2019","72,4600","EUR","458,1275M","EUR"
"11 sept. 2019","72,2200","EUR","456,8050M","EUR"
"10 sept. 2019","71,8800","EUR","454,6354M","EUR"
"09 sept. 2019","71,8100","EUR","451,0797M","EUR"
"06 sept. 2019","72,0000","EUR","452,2518M","EUR"
"05 sept. 2019","71,8700","EUR","451,3896M","EUR"
"04 sept. 2019","71,3900","EUR","448,4696M","EUR"
"03 sept. 2019","70,9800","EUR","445,8612M","EUR"
"02 sept. 2019","71,1000","EUR","446,3880M","EUR"
"30 août 2019","70,9000","EUR","445,0444M","EUR"
"29 août 2019","70,4400","EUR","442,1550M","EUR"
"28 août 2019","69,6500","EUR","437,2316M","EUR"
"27 août 2019","69,7600","EUR","437,9790M","EUR"
"26 août 2019","69,4300","EUR","435,8618M","EUR"
"23 août 2019","69,3800","EUR","435,7105M","EUR"
"22 août 2019","70,0300","EUR","439,8553M","EUR"
"21 août 2019","70,3200","EUR","441,6231M","EUR"
"20 août 2019","69,5800","EUR","437,0126M","EUR"
"19 août 2019","70,0400","EUR","439,9536M","EUR"
"16 août 2019","69,3600","EUR","436,0219M","EUR"
"14 août 2019","68,7400","EUR","432,5034M","EUR"
"13 août 2019","69,8000","EUR","439,1791M","EUR"
"12 août 2019","69,3100","EUR","436,0881M","EUR"
"09 août 2019","69,3200","EUR","436,1850M","EUR"
"08 août 2019","69,9400","EUR","440,1287M","EUR"
"07 août 2019","68,8100","EUR","433,3585M","EUR"
"06 août 2019","68,6100","EUR","432,1289M","EUR"
"05 août 2019","68,9700","EUR","434,4008M","EUR"
"02 août 2019","70,4000","EUR","443,4225M","EUR"
"01 août 2019","72,3600","EUR","455,9329M","EUR"
"31 juil. 2019","72,2000","EUR","455,1031M","EUR"
"30 juil. 2019","72,0600","EUR","454,4274M","EUR"
"29 juil. 2019","72,9200","EUR","460,2402M","EUR"
"26 juil. 2019","72,8000","EUR","460,6271M","EUR"
"25 juil. 2019","72,4900","EUR","459,3053M","EUR"
"24 juil. 2019","72,6000","EUR","461,3073M","EUR"
"23 juil. 2019","72,6500","EUR","461,6030M","EUR"
"22 juil. 2019","71,8700","EUR","456,7026M","EUR"
"19 juil. 2019","71,6400","EUR","455,2592M","EUR"
"18 juil. 2019","71,4400","EUR","454,0162M","EUR"
"17 juil. 2019","71,7200","EUR","456,1805M","EUR"
"16 juil. 2019","72,1700","EUR","459,3119M","EUR"
"15 juil. 2019","71,9000","EUR","457,6086M","EUR"
"12 juil. 2019","71,7500","EUR","455,6329M","EUR"
"11 juil. 2019","71,8300","EUR","456,1337M","EUR"
"10 juil. 2019","72,0600","EUR","458,0549M","EUR"
"09 juil. 2019","72,2700","EUR","459,5195M","EUR"
"08 juil. 2019","72,5900","EUR","461,6084M","EUR"
"05 juil. 2019","72,6400","EUR","461,9523M","EUR"
"04 juil. 2019","72,9800","EUR","464,1317M","EUR"
"03 juil. 2019","72,8600","EUR","463,5457M","EUR"
"02 juil. 2019","72,3400","EUR","460,2195M","EUR"
"01 juil. 2019","72,2600","EUR","459,5909M","EUR"
"28 juin 2019","71,7500","EUR","456,2937M","EUR"
"27 juin 2019","71,2300","EUR","452,9268M","EUR"
"26 juin 2019","71,2300","EUR","453,1578M","EUR"
"25 juin 2019","71,3200","EUR","453,6610M","EUR"
"24 juin 2019","71,5100","EUR","454,9153M","EUR"
"21 juin 2019","71,7200","EUR","456,3234M","EUR"
"20 juin 2019","71,8800","EUR","457,2621M","EUR"
"19 juin 2019","71,6200","EUR","455,8212M","EUR"
"18 juin 2019","71,4900","EUR","454,9959M","EUR"
"17 juin 2019","70,3100","EUR","447,4793M","EUR"
"14 juin 2019","70,3200","EUR","447,5785M","EUR"
"13 juin 2019","70,6400","EUR","449,5788M","EUR"
"12 juin 2019","70,5000","EUR","449,1183M","EUR"
"11 juin 2019","70,5900","EUR","449,7481M","EUR"
"07 juin 2019","69,9700","EUR","445,7795M","EUR"
"06 juin 2019","69,2400","EUR","441,2051M","EUR"
"05 juin 2019","69,2200","EUR","441,2321M","EUR"
"04 juin 2019","68,8400","EUR","438,8102M","EUR"
"03 juin 2019","68,4800","EUR","436,0370M","EUR"
"31 mai 2019","68,1200","EUR","433,6904M","EUR"
"29 mai 2019","68,2300","EUR","434,5362M","EUR"
"28 mai 2019","69,0800","EUR","440,0266M","EUR"
"27 mai 2019","69,2900","EUR","441,3997M","EUR"
"24 mai 2019","69,0300","EUR","439,6954M","EUR"
"23 mai 2019","68,7000","EUR","437,6754M","EUR"
"22 mai 2019","69,6100","EUR","443,8180M","EUR"
"21 mai 2019","69,5000","EUR","443,1659M","EUR"
"20 mai 2019","69,1900","EUR","441,2005M","EUR"
"17 mai 2019","69,9500","EUR","446,0905M","EUR"
"16 mai 2019","70,2300","EUR","447,9516M","EUR"
"15 mai 2019","69,1700","EUR","441,7393M","EUR"
"14 mai 2019","68,8100","EUR","439,4984M","EUR"
"13 mai 2019","67,8800","EUR","433,5865M","EUR"
"10 mai 2019","68,5400","EUR","438,0009M","EUR"
"08 mai 2019","69,3400","EUR","443,2481M","EUR"
"07 mai 2019","69,1800","EUR","442,2020M","EUR"
"06 mai 2019","70,3300","EUR","449,6807M","EUR"
"03 mai 2019","70,8400","EUR","453,1437M","EUR"
"02 mai 2019","70,8200","EUR","453,1300M","EUR"
"30 avr. 2019","71,0400","EUR","454,5135M","EUR"
"29 avr. 2019","71,0300","EUR","454,4434M","EUR"
"26 avr. 2019","70,8300","EUR","453,0571M","EUR"
"25 avr. 2019","70,7300","EUR","452,4265M","EUR"
"24 avr. 2019","70,9900","EUR","454,6689M","EUR"
"23 avr. 2019","71,1000","EUR","455,2852M","EUR"
"18 avr. 2019","70,9400","EUR","454,2681M","EUR"
"17 avr. 2019","70,6500","EUR","452,5844M","EUR"
"16 avr. 2019","70,4700","EUR","451,4625M","EUR"
"15 avr. 2019","70,2300","EUR","450,0960M","EUR"
"12 avr. 2019","70,0400","EUR","448,9429M","EUR"
"11 avr. 2019","69,9000","EUR","448,0720M","EUR"
"10 avr. 2019","69,7000","EUR","447,2123M","EUR"
"09 avr. 2019","69,5200","EUR","446,1635M","EUR"
"08 avr. 2019","69,9800","EUR","449,1435M","EUR"
"05 avr. 2019","70,0200","EUR","450,3393M","EUR"
"04 avr. 2019","69,8900","EUR","449,4870M","EUR"
"03 avr. 2019","69,9000","EUR","449,7965M","EUR"
"02 avr. 2019","69,1700","EUR","445,0740M","EUR"
"01 avr. 2019","69,0400","EUR","444,2755M","EUR"
"29 mars 2019","68,2900","EUR","439,4451M","EUR"
"28 mars 2019","67,6900","EUR","435,7668M","EUR"
"27 mars 2019","67,6300","EUR","435,6927M","EUR"
"26 mars 2019","67,8000","EUR","436,8815M","EUR"
"25 mars 2019","67,1700","EUR","432,8955M","EUR"
"22 mars 2019","67,4300","EUR","434,5788M","EUR"
"21 mars 2019","68,4100","EUR","441,0907M","EUR"
"20 mars 2019","68,3800","EUR","441,0547M","EUR"
"19 mars 2019","68,8000","EUR","443,9204M","EUR"
"18 mars 2019","68,3800","EUR","441,1960M","EUR"
"15 mars 2019","68,3200","EUR","440,8791M","EUR"
"14 mars 2019","67,6400","EUR","436,5600M","EUR"
"13 mars 2019","67,2800","EUR","434,6443M","EUR"
"12 mars 2019","66,9800","EUR","432,7236M","EUR"
"11 mars 2019","67,1100","EUR","433,9918M","EUR"
"08 mars 2019","66,4800","EUR","429,9905M","EUR"
"07 mars 2019","66,9100","EUR","432,8029M","EUR"
"06 mars 2019","67,1000","EUR","434,2238M","EUR"
"05 mars 2019","67,3800","EUR","436,0743M","EUR"
"04 mars 2019","67,3300","EUR","435,7560M","EUR"
"01 mars 2019","67,2300","EUR","435,1137M","EUR"
"28 févr. 2019","66,9500","EUR","433,2943M","EUR"
"27 févr. 2019","66,5600","EUR","431,0598M","EUR"
"26 févr. 2019","66,6400","EUR","431,6293M","EUR"
"25 févr. 2019","66,5000","EUR","430,8062M","EUR"
"22 févr. 2019","66,1600","EUR","428,7535M","EUR"
"21 févr. 2019","65,9900","EUR","427,7606M","EUR"
"20 févr. 2019","66,2400","EUR","429,8436M","EUR"
"19 févr. 2019","65,9700","EUR","428,1595M","EUR"
"18 févr. 2019","66,2500","EUR","429,9811M","EUR"
"15 févr. 2019","66,1300","EUR","429,1352M","EUR"
"14 févr. 2019","65,1000","EUR","422,4735M","EUR"
"13 févr. 2019","64,9400","EUR","421,8711M","EUR"
"12 févr. 2019","64,7200","EUR","420,4569M","EUR"
"11 févr. 2019","64,2000","EUR","417,1388M","EUR"
"08 févr. 2019","63,5600","EUR","412,9900M","EUR"
"07 févr. 2019","64,0700","EUR","416,2338M","EUR"
"06 févr. 2019","65,2900","EUR","424,4370M","EUR"
"05 févr. 2019","64,9200","EUR","422,0790M","EUR"
"04 févr. 2019","63,8600","EUR","415,8091M","EUR"
"01 févr. 2019","63,7300","EUR","414,8664M","EUR"
"31 janv. 2019","63,5600","EUR","413,7317M","EUR"
"30 janv. 2019","63,3200","EUR","412,2618M","EUR"
"29 janv. 2019","63,0800","EUR","410,7445M","EUR"
"28 janv. 2019","62,7700","EUR","408,7284M","EUR"
"25 janv. 2019","63,3900","EUR","412,7895M","EUR"
"24 janv. 2019","62,8900","EUR","409,5393M","EUR"
"23 janv. 2019","62,7000","EUR","408,4120M","EUR"
"22 janv. 2019","62,7800","EUR","408,9662M","EUR"
"21 janv. 2019","62,9900","EUR","410,6816M","EUR"
"18 janv. 2019","63,0600","EUR","412,9768M","EUR"
"17 janv. 2019","61,8200","EUR","404,9165M","EUR"
"16 janv. 2019","61,9800","EUR","406,2034M","EUR"
"15 janv. 2019","61,7300","EUR","404,8725M","EUR"
"14 janv. 2019","61,6900","EUR","404,5850M","EUR"
"11 janv. 2019","61,9900","EUR","406,5021M","EUR"
"10 janv. 2019","62,0900","EUR","407,1830M","EUR"
"09 janv. 2019","61,8800","EUR","405,4231M","EUR"
"08 janv. 2019","61,3800","EUR","402,2373M","EUR"
"07 janv. 2019","61,1100","EUR","400,5101M","EUR"
"04 janv. 2019","61,1200","EUR","400,5595M","EUR"
"03 janv. 2019","59,5800","EUR","390,3259M","EUR"
"02 janv. 2019","60,3200","EUR","395,9957M","EUR"
"31 déc. 2018","60,5300","EUR","397,4502M","EUR"
"28 déc. 2018","60,2000","EUR","392,2369M","EUR"
"27 déc. 2018","59,0900","EUR","388,5082M","EUR"
"21 déc. 2018","60,1500","EUR","395,6410M","EUR"
"20 déc. 2018","60,2500","EUR","396,2433M","EUR"
"19 déc. 2018","61,4600","EUR","404,6763M","EUR"
"18 déc. 2018","61,4500","EUR","404,8825M","EUR"
"17 déc. 2018","61,8300","EUR","407,3697M","EUR"
"14 déc. 2018","62,6300","EUR","412,6287M","EUR"
"13 déc. 2018","63,0800","EUR","415,5029M","EUR"
"12 déc. 2018","63,3000","EUR","417,4567M","EUR"
"11 déc. 2018","62,4400","EUR","411,7359M","EUR"
"10 déc. 2018","61,7800","EUR","407,4315M","EUR"
"07 déc. 2018","62,6100","EUR","412,8958M","EUR"
